trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size
1,short,2024-11-05 07:17:00,2024-11-06 05:53:00,71.55,70.9,70.9,74.095,take_profit,0.65,resistance,6
2,short,2024-11-06 07:01:00,2024-11-06 09:15:00,70.9,70.604,70.604,71.4067,take_profit,0.296,resistance,2
3,long,2024-11-06 13:01:00,2024-11-06 13:17:00,70.3375,69.748,71.55,69.748,stop_loss,-0.5895,support,4
4,short,2024-11-06 15:07:00,2024-11-11 09:26:00,71.55,69.748,69.748,74.095,take_profit,1.802,resistance,6
5,long,2024-11-12 07:56:00,2024-11-12 13:59:00,68.2033,68.845,68.845,67.5,take_profit,0.6417,support,3
6,short,2024-11-12 14:21:00,2024-11-13 14:06:00,69.0867,67.5,67.5,69.7467,take_profit,1.5867,resistance,3
7,long,2024-11-13 14:07:00,2024-11-13 14:59:00,67.5,67.055,68.2033,67.055,stop_loss,-0.445,support,2
8,short,2024-11-14 13:12:00,2024-11-15 17:07:00,69.0867,67.5,67.5,69.7467,take_profit,1.5867,resistance,3
9,long,2024-11-19 14:54:00,2024-11-21 11:56:00,69.7133,70.316,70.316,68.0671,take_profit,0.6027,support,3
10,short,2024-11-21 17:12:00,2024-11-22 07:54:00,69.585,70.6525,69.0767,70.6525,stop_loss,-1.0675,resistance,2
11,short,2024-11-26 10:14:00,2024-11-26 14:43:00,69.585,69.94,68.95,69.94,stop_loss,-0.355,resistance,2
12,long,2024-11-26 17:50:00,2024-11-26 18:05:00,68.39,68.0671,70.3567,68.0671,stop_loss,-0.3229,support,2
13,short,2024-11-27 07:10:00,2024-11-27 16:57:00,69.0875,68.52,68.52,69.585,take_profit,0.5675,resistance,4
14,long,2024-11-28 08:03:00,2024-11-28 09:57:00,68.4533,68.95,68.95,68.0778,take_profit,0.4967,support,3
15,long,2024-11-28 14:28:00,2024-11-29 19:27:00,68.95,68.0778,69.8733,68.0778,stop_loss,-0.8722,support,3
